year,subYear,date,time,targetTime,minutesFromTarget,tempF,dewPointF,humidityPct,heatIndexF,runnerStressScore,wind,windSpeedMph,windGustMph,pressureIn,precipIn,condition,sourceUrl
2014,,2014-07-04,7:53 AM,7:30 AM,23,66.0,58.0,75.0,66.0,150.5,N,5.0,0.0,29.21,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2014-07-04
2015,,2015-07-04,7:19 AM,7:30 AM,11,68.0,66.0,93.0,68.0,167.0,CALM,0.0,0.0,29.15,0.0,Light Rain,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2015-07-04
2016,,2016-07-04,7:53 AM,7:30 AM,23,76.0,71.0,85.0,76.0,179.5,SW,6.0,0.0,29.19,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2016-07-04
2017,,2017-07-04,7:53 AM,7:30 AM,23,72.0,70.0,93.0,72.0,177.0,CALM,0.0,0.0,29.22,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2017-07-04
2018,,2018-07-04,6:53 AM,7:00 AM,7,72.0,72.0,100.0,72.0,180.0,CALM,0.0,0.0,29.26,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2018-07-04
2019,,2019-07-04,6:53 AM,7:00 AM,7,75.0,70.0,84.0,75.0,180.0,CALM,0.0,0.0,29.11,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2019-07-04
2020,,2020-07-04,6:53 AM,6:50 AM,3,72.0,69.0,91.0,72.0,175.5,CALM,0.0,0.0,29.05,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2020-07-04
2021,2021a,2021-07-03,6:53 AM,6:30 AM,23,65.0,63.0,93.0,65.0,158.0,NNW,3.0,0.0,29.03,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2021-07-03
2021,2021b,2021-07-04,6:53 AM,6:30 AM,23,60.0,59.0,96.0,60.0,148.5,CALM,0.0,0.0,29.1,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2021-07-04
2022,,2022-07-04,6:53 AM,7:00 AM,7,74.0,73.0,97.0,74.0,183.5,,0.0,0.0,29.22,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2022-07-04
2023,,2023-07-04,6:53 AM,7:00 AM,7,72.0,70.0,93.0,72.0,177.0,CALM,0.0,0.0,29.17,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2023-07-04
2024,,2024-07-04,6:53 AM,7:00 AM,7,76.0,72.0,87.0,76.0,181.5,SSE,5.0,0.0,29.16,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2024-07-04
2025,,2025-07-04,6:53 AM,6:50 AM,3,71.0,69.0,93.0,71.0,173.0,NNE,3.0,0.0,29.14,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2025-07-04
2026,,2026-07-04,6:53 AM,6:50 AM,3,73.0,70.0,90.0,73.0,178.0,CALM,0.0,0.0,29.18,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2026-07-04
